                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3624,                 3.7279,                 1.3985,                0.00875,                0.81852,                0.34751,                0.28133,                 1.1812,                 3.1754,                 1.2724,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.2564,                 2.4756,                 1.3436,                0.59482,                0.47453,                0.64859,                0.49743,                 1.0286,                 2.0157,                 1.2497,             0.00063546,             0.00063546,             0.00063546
                      3,                 1.2898,                 2.2923,                 1.3622,                0.67851,                0.67353,                0.72579,                0.52917,                 1.1096,                 1.8411,                   1.33,              0.0009251,              0.0009251,              0.0009251
                      4,                 1.2884,                 2.0962,                 1.3666,                0.70966,                0.67968,                0.70569,                0.51427,                 1.0833,                 1.9797,                 1.2513,               0.000901,               0.000901,               0.000901
                      5,                 1.2857,                 1.9548,                 1.3396,                0.58539,                0.70979,                0.68727,                 0.4449,                 1.1423,                  1.601,                 1.2601,               0.000868,               0.000868,               0.000868
                      6,                 1.2415,                  1.855,                 1.3072,                 0.8601,                0.69678,                0.81904,                0.53945,                 1.0165,                 1.2682,                 1.1928,               0.000835,               0.000835,               0.000835
                      7,                 1.1941,                 1.7613,                 1.3195,                0.82447,                0.80618,                0.85452,                0.56504,                  1.106,                 1.4607,                 1.2469,               0.000802,               0.000802,               0.000802
                      8,                 1.1937,                  1.609,                 1.2793,                0.95392,                0.74559,                0.84084,                0.59501,                 1.0558,                0.89799,                 1.1821,               0.000769,               0.000769,               0.000769
                      9,                 1.1216,                 1.4241,                 1.2158,                0.82201,                0.76991,                0.85841,                0.57315,                 1.1385,                0.87412,                 1.2638,               0.000736,               0.000736,               0.000736
                     10,                 1.1477,                 1.4425,                  1.255,                0.78751,                 0.8072,                0.79249,                0.59295,                 1.0395,                 0.7936,                 1.1857,               0.000703,               0.000703,               0.000703
                     11,                 1.1356,                 1.3925,                 1.2554,                0.90742,                0.79278,                0.86984,                0.60096,                 1.0627,                  0.777,                 1.2073,                0.00067,                0.00067,                0.00067
                     12,                 1.0611,                 1.2348,                 1.2042,                0.84732,                0.84997,                0.85967,                0.62002,                 1.0403,                0.75113,                  1.204,               0.000637,               0.000637,               0.000637
                     13,                 1.0526,                 1.1667,                 1.1963,                0.86437,                0.83948,                0.86526,                0.60362,                 1.0299,                0.76529,                 1.1778,               0.000604,               0.000604,               0.000604
                     14,                 1.0247,                 1.1178,                  1.181,                0.86455,                0.81693,                0.82574,                0.61912,                0.97724,                0.74125,                 1.1604,               0.000571,               0.000571,               0.000571
                     15,                 1.0493,                 1.1215,                 1.1853,                0.79964,                0.85926,                0.84349,                0.64805,                0.91366,                0.61893,                 1.1187,               0.000538,               0.000538,               0.000538
                     16,                 1.0161,                 1.0837,                 1.1692,                0.79072,                0.85503,                  0.852,                0.66741,                0.89403,                0.61897,                  1.113,               0.000505,               0.000505,               0.000505
                     17,                0.98475,                 1.0261,                 1.1511,                0.88903,                 0.8816,                0.93572,                 0.6571,                0.94006,                0.56672,                 1.1128,               0.000472,               0.000472,               0.000472
                     18,                 1.0271,                 1.0621,                 1.1875,                0.96318,                0.85463,                0.92805,                0.62925,                 1.0307,                0.60944,                 1.1774,               0.000439,               0.000439,               0.000439
                     19,                 1.0151,                0.97185,                 1.1673,                0.85145,                0.88048,                0.88116,                0.64228,                0.91883,                 0.6497,                  1.125,               0.000406,               0.000406,               0.000406
                     20,                0.97949,                0.96582,                 1.1439,                0.90346,                0.80227,                0.87751,                0.62471,                 1.0074,                0.64278,                  1.165,               0.000373,               0.000373,               0.000373
                     21,                0.88662,                0.95842,                 1.1267,                0.96769,                0.86757,                0.92625,                0.67059,                0.97207,                 0.5798,                 1.1347,                0.00034,                0.00034,                0.00034
                     22,                0.85918,                0.89251,                 1.0959,                0.92326,                0.88042,                0.93318,                 0.6572,                0.98432,                0.58273,                 1.1495,               0.000307,               0.000307,               0.000307
                     23,                0.89184,                0.86349,                 1.1075,                0.97525,                0.84755,                0.92018,                0.66815,                0.93819,                  0.556,                 1.1258,               0.000274,               0.000274,               0.000274
                     24,                0.83972,                0.83854,                 1.0897,                0.91098,                0.90254,                0.91759,                 0.6676,                0.90883,                0.51536,                 1.1172,               0.000241,               0.000241,               0.000241
                     25,                0.78954,                0.78624,                 1.0608,                0.85295,                0.84999,                0.85417,                0.66105,                0.89586,                0.48873,                 1.0869,               0.000208,               0.000208,               0.000208
                     26,                 0.8098,                0.77749,                 1.0564,                0.92759,                0.90464,                0.91966,                0.66614,                0.95345,                0.49431,                   1.12,               0.000175,               0.000175,               0.000175
                     27,                0.78292,                0.73955,                 1.0479,                0.79913,                0.85926,                0.86989,                0.65843,                0.90971,                0.48995,                 1.1018,               0.000142,               0.000142,               0.000142
                     28,                0.75543,                0.69539,                 1.0237,                0.96809,                 0.8537,                 0.9215,                0.67928,                0.90101,                0.47898,                 1.0872,               0.000109,               0.000109,               0.000109
                     29,                0.75581,                0.69764,                 1.0217,                0.91687,                0.86652,                0.89885,                0.68358,                0.89786,                0.47467,                 1.0911,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.73374,                0.67938,                 1.0233,                0.90983,                0.87316,                0.89546,                0.67555,                0.88656,                0.47501,                 1.0842,                4.3e-05,                4.3e-05,                4.3e-05
