                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2803,                 3.5574,                 1.3755,                0.00673,                0.85926,                0.44386,                0.34552,                   1.05,                 4.0981,                 1.1618,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.2902,                 2.5859,                  1.398,                 0.6073,                0.53888,                0.63743,                0.44185,                  1.202,                 2.9673,                 1.3089,             0.00064785,             0.00064785,             0.00064785
                      3,                 1.3199,                 2.3649,                 1.3845,                0.41049,                0.42291,                0.46814,                0.34491,                 1.2672,                 3.1593,                 1.3593,             0.00096246,             0.00096246,             0.00096246
