                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3624,                 3.7279,                 1.3985,                0.00875,                0.81852,                0.34751,                0.28133,                 1.1812,                 3.1754,                 1.2724,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.2698,                 2.4611,                 1.3539,                0.91876,                0.48148,                0.61313,                0.42943,                 1.1319,                 2.3513,                 1.2925,             0.00065064,             0.00065064,             0.00065064
                      3,                 1.3165,                 2.3453,                 1.3905,                0.86138,                 0.5178,                0.60216,                0.44147,                  1.151,                 2.0437,                 1.4097,             0.00097086,             0.00097086,             0.00097086
                      4,                 1.2905,                 2.1757,                 1.3795,                0.68378,                0.61672,                 0.6139,                0.40683,                 1.3445,                 2.0153,                 1.4717,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3059,                  2.014,                 1.3733,                0.60534,                 0.5048,                0.56176,                0.39652,                 1.2362,                 1.6761,                 1.3007,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2543,                 1.9196,                 1.3409,                 0.7289,                 0.6402,                 0.6688,                0.46568,                 1.1944,                 1.4993,                 1.3378,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2371,                 1.7543,                 1.3323,                0.66448,                0.74216,                0.73873,                0.51265,                 1.1103,                 1.2955,                 1.3237,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1978,                 1.6251,                 1.3011,                0.90979,                0.70417,                0.79727,                0.57079,                 1.1402,                0.99795,                 1.2972,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1724,                 1.4919,                  1.278,                0.93485,                0.77212,                0.85874,                0.58641,                 1.0597,                0.86192,                 1.1897,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1572,                 1.4596,                  1.279,                0.83173,                0.80591,                0.82536,                0.58543,                 1.0841,                0.95027,                 1.2285,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1624,                 1.4376,                 1.2924,                0.83978,                0.80205,                0.84591,                0.61208,                0.93811,                0.80779,                 1.1362,               0.000901,               0.000901,               0.000901
                     12,                 1.1404,                  1.318,                 1.2576,                0.92892,                0.83518,                0.86534,                0.60145,                 1.0153,                0.83923,                 1.1503,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1013,                 1.2171,                 1.2427,                0.88036,                0.71315,                0.79026,                0.59843,                 1.0429,                0.95908,                 1.1642,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.0625,                 1.1788,                 1.2155,                0.89686,                0.84243,                0.86093,                0.65252,                 0.9598,                0.73826,                 1.1236,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1003,                 1.1614,                 1.2361,                0.90288,                0.87408,                0.92364,                0.62142,                  1.059,                0.69478,                 1.2169,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0748,                   1.14,                 1.2086,                0.80101,                0.85799,                0.86048,                0.60453,                  1.029,                0.76464,                 1.1562,              0.0008515,              0.0008515,              0.0008515
                     17,                  1.019,                 1.0613,                 1.1833,                0.82427,                0.79742,                0.84089,                0.60847,                 1.0083,                0.73765,                 1.1554,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0846,                  1.114,                 1.2261,                0.96369,                0.77602,                0.91002,                0.59304,                  1.077,                0.77674,                  1.166,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0996,                 1.0588,                 1.2123,                0.78887,                0.77859,                0.88389,                0.61926,                0.99322,                 0.8401,                 1.1512,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0713,                 1.0257,                 1.1999,                   0.86,                 0.8474,                0.89025,                0.60268,                 1.0303,                0.72035,                 1.1544,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0233,                0.94898,                 1.1867,                 0.9688,                0.76175,                0.88929,                0.63018,                0.96916,                0.68012,                 1.0973,               0.000802,               0.000802,               0.000802
                     22,                 1.0654,                0.97667,                 1.1897,                0.92914,                 0.7846,                0.85976,                0.60412,                0.97929,                0.65539,                 1.1052,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0173,                0.92948,                 1.1712,                0.90504,                0.77963,                0.83538,                0.61295,                0.99216,                0.66838,                 1.1261,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0337,                0.94375,                 1.1991,                0.90802,                0.82408,                0.84767,                0.61556,                  1.056,                0.70244,                 1.1862,              0.0007723,              0.0007723,              0.0007723
                     25,                  1.014,                0.90945,                 1.1659,                0.89187,                0.79906,                0.82449,                0.61742,                 1.0179,                0.64446,                 1.1562,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0313,                0.91198,                 1.1811,                0.93168,                0.74906,                0.82874,                0.62327,                0.99915,                0.69551,                 1.1461,              0.0007525,              0.0007525,              0.0007525
                     27,                0.95975,                0.84764,                 1.1563,                0.86186,                 0.8641,                0.90394,                0.67065,                0.94444,                0.61422,                 1.1039,              0.0007426,              0.0007426,              0.0007426
                     28,                0.99407,                0.83779,                 1.1796,                0.92461,                0.82472,                0.88869,                0.67009,                0.91843,                0.56131,                 1.0746,              0.0007327,              0.0007327,              0.0007327
                     29,                0.98499,                0.84383,                 1.1466,                0.96172,                0.81524,                 0.8658,                0.65357,                0.92293,                0.56617,                 1.0873,              0.0007228,              0.0007228,              0.0007228
                     30,                0.95327,                0.82099,                 1.1324,                0.89921,                0.82502,                0.88457,                0.65559,                0.92375,                0.54083,                 1.0918,              0.0007129,              0.0007129,              0.0007129
                     31,                0.93047,                0.78825,                  1.125,                0.88789,                0.79613,                0.85779,                0.63838,                0.90132,                0.55669,                 1.1041,               0.000703,               0.000703,               0.000703
                     32,                0.95276,                0.78019,                 1.1336,                0.94484,                0.85482,                0.91631,                 0.6496,                0.96878,                0.61161,                 1.1202,              0.0006931,              0.0006931,              0.0006931
                     33,                0.96598,                0.77287,                 1.1403,                 0.8978,                0.78285,                0.85991,                 0.6277,                0.95677,                0.57579,                 1.1153,              0.0006832,              0.0006832,              0.0006832
                     34,                0.92965,                 0.7374,                  1.118,                0.95424,                0.84108,                0.89158,                0.64567,                 1.0232,                0.54986,                 1.1555,              0.0006733,              0.0006733,              0.0006733
                     35,                0.96201,                0.75755,                 1.1394,                0.92035,                0.78682,                0.86679,                0.63966,                 0.9841,                0.55001,                 1.1257,              0.0006634,              0.0006634,              0.0006634
                     36,                0.90659,                0.71584,                 1.1017,                0.91796,                0.77701,                0.84052,                0.66296,                0.98148,                0.56687,                 1.1356,              0.0006535,              0.0006535,              0.0006535
                     37,                0.89359,                0.70692,                 1.1061,                0.92067,                  0.839,                0.88978,                0.63469,                0.99398,                0.54674,                 1.1334,              0.0006436,              0.0006436,              0.0006436
                     38,                0.94752,                0.73088,                 1.1478,                0.96142,                0.87448,                0.93462,                0.63956,                 1.0282,                0.53388,                 1.1509,              0.0006337,              0.0006337,              0.0006337
                     39,                0.91173,                0.73346,                 1.1049,                0.93113,                 0.8429,                0.89269,                 0.6196,                 1.0518,                0.55391,                 1.1616,              0.0006238,              0.0006238,              0.0006238
                     40,                0.93066,                0.73782,                 1.1233,                0.95075,                0.83519,                0.88948,                0.63134,                0.97327,                0.56448,                 1.1288,              0.0006139,              0.0006139,              0.0006139
                     41,                0.91916,                 0.6847,                 1.1029,                0.90973,                0.84437,                0.86931,                0.66749,                0.92381,                0.50873,                 1.0886,               0.000604,               0.000604,               0.000604
                     42,                0.85052,                0.65599,                 1.0853,                0.96652,                0.80996,                0.86913,                 0.6415,                0.96609,                0.51286,                 1.1209,              0.0005941,              0.0005941,              0.0005941
                     43,                0.87838,                0.66008,                 1.1004,                 0.9536,                0.82089,                0.87981,                0.64843,                0.97901,                0.50229,                 1.1517,              0.0005842,              0.0005842,              0.0005842
                     44,                0.90829,                0.69283,                 1.1118,                0.96464,                0.86658,                0.90617,                0.66554,                 0.9793,                0.48133,                 1.1664,              0.0005743,              0.0005743,              0.0005743
                     45,                0.88769,                 0.6821,                 1.0916,                0.94662,                0.80255,                0.87366,                0.66545,                0.92058,                0.45278,                 1.0812,              0.0005644,              0.0005644,              0.0005644
                     46,                0.89589,                0.68715,                  1.094,                0.93065,                0.86289,                0.91758,                0.65473,                0.96471,                0.44927,                 1.0898,              0.0005545,              0.0005545,              0.0005545
                     47,                0.86306,                0.68111,                  1.072,                0.97673,                0.84435,                0.91004,                0.66212,                0.97174,                0.49124,                 1.1286,              0.0005446,              0.0005446,              0.0005446
                     48,                0.84536,                0.62791,                 1.0759,                0.97323,                0.84244,                0.87114,                 0.6753,                0.90584,                0.44753,                 1.1118,              0.0005347,              0.0005347,              0.0005347
                     49,                 0.8559,                0.62156,                 1.0643,                0.93544,                0.87735,                0.93779,                0.67681,                 0.9444,                0.51764,                 1.0929,              0.0005248,              0.0005248,              0.0005248
                     50,                0.87577,                0.62552,                 1.0839,                0.92526,                0.87407,                 0.9165,                0.67021,                0.94553,                0.48719,                 1.1156,              0.0005149,              0.0005149,              0.0005149
                     51,                0.83387,                0.62446,                 1.0713,                0.88568,                0.84501,                0.86159,                0.65986,                0.92388,                0.43891,                  1.108,               0.000505,               0.000505,               0.000505
                     52,                0.81446,                0.60755,                 1.0617,                0.86601,                   0.86,                 0.8893,                0.67361,                0.92596,                0.45702,                 1.1184,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.8192,                0.60837,                 1.0544,                0.95079,                0.87851,                0.95696,                0.67634,                0.91229,                0.45153,                 1.1096,              0.0004852,              0.0004852,              0.0004852
                     54,                0.83812,                0.62462,                 1.0551,                 0.8945,                0.88412,                 0.9137,                0.68387,                0.91078,                0.41862,                 1.1085,              0.0004753,              0.0004753,              0.0004753
                     55,                0.85781,                0.63068,                 1.0803,                0.84151,                0.87886,                0.89433,                0.67729,                0.91238,                  0.459,                 1.1097,              0.0004654,              0.0004654,              0.0004654
                     56,                0.82208,                0.59222,                 1.0492,                 0.9204,                0.82015,                0.88161,                0.67987,                0.90686,                0.47239,                 1.1126,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.8212,                0.58229,                  1.054,                0.95129,                  0.827,                 0.8829,                0.66534,                0.88977,                0.46038,                  1.078,              0.0004456,              0.0004456,              0.0004456
                     58,                0.84718,                0.60183,                 1.0597,                0.86349,                0.85642,                0.90211,                0.67015,                0.94947,                0.48418,                 1.1328,              0.0004357,              0.0004357,              0.0004357
                     59,                0.81468,                0.58441,                 1.0443,                0.84986,                 0.8946,                0.91739,                0.67621,                 0.9585,                0.44021,                 1.1224,              0.0004258,              0.0004258,              0.0004258
                     60,                0.78988,                0.56703,                 1.0333,                0.85079,                0.91789,                0.91239,                0.67136,                 0.9492,                0.42353,                  1.144,              0.0004159,              0.0004159,              0.0004159
                     61,                0.78336,                0.55043,                  1.038,                0.95867,                0.87286,                0.94075,                0.65888,                0.93391,                 0.4207,                 1.1116,               0.000406,               0.000406,               0.000406
                     62,                 0.7978,                0.55063,                 1.0397,                0.92829,                0.79658,                0.85393,                0.63945,                0.97352,                0.51731,                 1.1432,              0.0003961,              0.0003961,              0.0003961
                     63,                 0.8132,                0.57277,                 1.0353,                0.94118,                0.81468,                 0.8592,                0.64004,                0.96485,                0.49146,                 1.1257,              0.0003862,              0.0003862,              0.0003862
                     64,                0.79256,                0.57102,                 1.0345,                0.94685,                0.81694,                0.84757,                  0.675,                0.91196,                 0.4727,                  1.093,              0.0003763,              0.0003763,              0.0003763
                     65,                0.77481,                 0.5378,                 1.0375,                0.96147,                 0.8872,                 0.9415,                0.66922,                0.97169,                0.44769,                 1.1363,              0.0003664,              0.0003664,              0.0003664
                     66,                0.76541,                0.53198,                  1.033,                0.92735,                0.81089,                0.86628,                0.64901,                0.94725,                0.49963,                  1.131,              0.0003565,              0.0003565,              0.0003565
                     67,                0.75037,                0.52173,                 1.0186,                0.93875,                0.81867,                 0.8627,                  0.665,                0.93103,                0.49083,                 1.1146,              0.0003466,              0.0003466,              0.0003466
                     68,                 0.7698,                0.54145,                 1.0296,                0.96599,                0.89259,                0.93208,                0.67544,                0.92356,                0.42158,                 1.0978,              0.0003367,              0.0003367,              0.0003367
                     69,                0.77484,                0.55464,                 1.0295,                0.96807,                0.89387,                0.95208,                 0.6831,                0.91208,                0.39856,                 1.0952,              0.0003268,              0.0003268,              0.0003268
                     70,                0.74034,                0.51073,                 1.0154,                0.98258,                0.86289,                0.92321,                0.68787,                0.91117,                0.39065,                  1.088,              0.0003169,              0.0003169,              0.0003169
                     71,                0.76094,                 0.5321,                 1.0195,                0.96354,                0.81496,                0.87906,                0.68393,                0.89494,                 0.4096,                 1.0838,               0.000307,               0.000307,               0.000307
                     72,                0.74879,                0.52309,                 1.0204,                0.97306,                0.87155,                0.90717,                0.67833,                0.90164,                0.42394,                 1.0879,              0.0002971,              0.0002971,              0.0002971
