                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3624,                 3.7279,                 1.3985,                0.00875,                0.81852,                0.34751,                0.28133,                 1.1812,                 3.1754,                 1.2724,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.2409,                 2.4497,                  1.335,                0.67328,                0.54311,                0.63601,                0.45333,                 1.1347,                 2.3598,                 1.2709,             0.00065497,             0.00065497,             0.00065497
                      3,                 1.3345,                 2.3342,                 1.4009,                0.64874,                0.60633,                0.70084,                0.48373,                 1.2306,                 2.1425,                 1.4593,             0.00098394,             0.00098394,             0.00098394
                      4,                 1.3141,                  2.201,                 1.3869,                 0.5387,                0.54444,                0.51943,                0.36697,                 1.2949,                 1.8618,                  1.493,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.2889,                 2.0027,                 1.3707,                  0.596,                0.51243,                0.57742,                0.37662,                 1.2791,                  1.889,                 1.3681,              0.0009868,              0.0009868,              0.0009868
                      6,                 1.2365,                 1.8635,                 1.3326,                0.56052,                0.63253,                0.66677,                0.50708,                 1.0787,                 1.2327,                 1.2441,              0.0009835,              0.0009835,              0.0009835
                      7,                 1.2604,                 1.7875,                 1.3706,                0.92272,                0.69175,                0.76107,                0.52491,                 1.1399,                 1.0935,                 1.2683,              0.0009802,              0.0009802,              0.0009802
                      8,                 1.2409,                 1.6881,                 1.3229,                0.87003,                0.74364,                0.77073,                0.49671,                 1.1479,                 1.1265,                 1.3295,              0.0009769,              0.0009769,              0.0009769
                      9,                 1.1732,                 1.4934,                 1.2698,                 0.8026,                0.75351,                0.80727,                0.59703,                      1,                0.92091,                 1.1906,              0.0009736,              0.0009736,              0.0009736
                     10,                 1.1983,                 1.5109,                 1.2956,                0.78703,                0.77963,                0.77165,                0.59659,                 1.0432,                0.85953,                 1.2319,              0.0009703,              0.0009703,              0.0009703
                     11,                 1.1784,                 1.4392,                 1.2873,                0.80226,                0.81852,                0.78368,                 0.5743,                 1.0132,                0.89781,                 1.2187,               0.000967,               0.000967,               0.000967
                     12,                 1.1327,                 1.2978,                 1.2542,                0.79432,                0.81273,                0.77135,                0.58344,                 1.0035,                0.82956,                 1.2265,              0.0009637,              0.0009637,              0.0009637
                     13,                 1.1218,                 1.2317,                 1.2461,                0.90947,                0.75457,                0.80448,                0.58287,                 1.0453,                0.86867,                 1.2037,              0.0009604,              0.0009604,              0.0009604
                     14,                  1.067,                  1.181,                 1.2137,                0.77239,                0.77963,                0.79524,                0.58724,                 1.1258,                0.84456,                  1.277,              0.0009571,              0.0009571,              0.0009571
                     15,                 1.1276,                 1.1791,                  1.248,                0.90097,                0.76344,                0.84206,                0.59113,                 1.0051,                0.86625,                 1.1878,              0.0009538,              0.0009538,              0.0009538
                     16,                 1.0903,                  1.098,                 1.2344,                0.94044,                0.88547,                0.91343,                0.59236,                 1.0373,                0.70369,                  1.174,              0.0009505,              0.0009505,              0.0009505
                     17,                 1.0261,                 1.0596,                 1.1915,                0.85089,                0.75685,                 0.8141,                0.56531,                 1.0316,                 0.7998,                 1.2116,              0.0009472,              0.0009472,              0.0009472
                     18,                  1.124,                 1.1124,                 1.2484,                 0.7449,                0.80809,                0.87322,                0.61409,                 0.9579,                0.75144,                 1.1379,              0.0009439,              0.0009439,              0.0009439
                     19,                 1.1353,                 1.0724,                 1.2386,                0.90156,                0.73607,                 0.8045,                0.60895,                 1.0071,                0.73941,                 1.1752,              0.0009406,              0.0009406,              0.0009406
